goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseXmlvector/sigmod-48              	   57490	    215062 ns/op	2243.86 MB/s	      10 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   54882	    218174 ns/op	2211.85 MB/s	       3 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   52984	    216881 ns/op	2225.03 MB/s	    1298 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   52497	    222655 ns/op	2167.34 MB/s	    1146 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   53764	    220177 ns/op	2191.73 MB/s	    1278 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   54066	    217607 ns/op	2217.61 MB/s	     159 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   52910	    221112 ns/op	2182.46 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   52728	    217960 ns/op	2214.02 MB/s	     326 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   56818	    215815 ns/op	2236.03 MB/s	    3474 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-48              	   53907	    215923 ns/op	2234.90 MB/s	     319 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16347	    725495 ns/op	2085.86 MB/s	    2953 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16326	    729557 ns/op	2074.24 MB/s	   11631 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16416	    721441 ns/op	2097.58 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16264	    738456 ns/op	2049.25 MB/s	   81621 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16310	    740273 ns/op	2044.22 MB/s	       5 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16072	    753904 ns/op	2007.26 MB/s	   11802 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16012	    746618 ns/op	2026.85 MB/s	    2964 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16080	    737035 ns/op	2053.20 MB/s	   14744 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   15670	    743215 ns/op	2036.13 MB/s	   12104 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-48             	   16544	    736200 ns/op	2055.53 MB/s	    5734 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/xmlvector	2087.030s
