goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlvector/large-8               	  901414	     13291 ns/op	 543.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  897932	     13269 ns/op	 544.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  903508	     13232 ns/op	 546.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  901614	     13254 ns/op	 545.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  902292	     13294 ns/op	 543.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  899251	     13258 ns/op	 545.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  897580	     13252 ns/op	 545.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13636	    878854 ns/op	 549.09 MB/s	      14 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13483	    885815 ns/op	 544.77 MB/s	       5 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13645	    934137 ns/op	 516.59 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   12693	    956143 ns/op	 504.70 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13440	    890074 ns/op	 542.17 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13540	    886396 ns/op	 544.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13639	    882642 ns/op	 546.73 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13472	    892124 ns/op	 540.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13634	    886319 ns/op	 544.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   13719	    877213 ns/op	 550.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3474	   3505309 ns/op	 431.71 MB/s	      72 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3420	   3391766 ns/op	 446.16 MB/s	      36 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3548	   3391740 ns/op	 446.17 MB/s	      25 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3411	   3397318 ns/op	 445.43 MB/s	      18 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3510	   3380750 ns/op	 447.62 MB/s	      10 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3520	   3447957 ns/op	 438.89 MB/s	      10 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3448	   3447031 ns/op	 439.01 MB/s	       8 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3495	   3363861 ns/op	 449.86 MB/s	      10 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3505	   3507377 ns/op	 431.46 MB/s	       7 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    3469	   3381614 ns/op	 447.50 MB/s	       8 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/xmlvector	2020.668s
