goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlStreamParser/mondial-8       	    1360	   7826377 ns/op	 193.36 MB/s	16719623 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1543	   7735980 ns/op	 195.62 MB/s	16719837 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1419	   7928485 ns/op	 190.87 MB/s	16716222 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1582	   7664049 ns/op	 197.45 MB/s	16719519 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1444	   7811081 ns/op	 193.73 MB/s	16720300 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1610	   7790221 ns/op	 194.25 MB/s	16716546 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1389	   7781680 ns/op	 194.47 MB/s	16717246 B/op	  218254 allocs/op
BenchmarkParseXmlvector/small-8               	41527092	       291.6 ns/op	 552.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41703795	       292.1 ns/op	 551.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41473465	       291.0 ns/op	 553.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41864875	       291.2 ns/op	 552.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41404783	       293.3 ns/op	 548.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41809111	       291.8 ns/op	 551.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41166583	       319.0 ns/op	 504.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	36422476	       313.0 ns/op	 514.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41030708	       290.0 ns/op	 555.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	41908278	       294.5 ns/op	 546.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9843966	      1240 ns/op	 862.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9805294	      1238 ns/op	 864.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9549739	      1235 ns/op	 866.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9792122	      1244 ns/op	 859.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9805076	      1234 ns/op	 867.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9754618	      1239 ns/op	 863.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9770922	      1239 ns/op	 863.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9678934	      1232 ns/op	 868.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9847212	      1254 ns/op	 853.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 9830335	      1236 ns/op	 865.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11515 ns/op	 627.53 MB/s	       0 B/op	       0 allocs/op
