goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseJsonvector/small-8       	274128084	       263.4 ns/op	 721.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	261186373	       272.7 ns/op	 696.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39618700	      1833 ns/op	1270.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39511317	      1836 ns/op	1268.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39345466	      1838 ns/op	1266.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39386272	      1835 ns/op	1269.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39234175	      1833 ns/op	1270.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39332444	      1837 ns/op	1267.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	38751559	      1839 ns/op	1266.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39502611	      1834 ns/op	1270.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39154822	      1834 ns/op	1269.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	39264441	      1831 ns/op	1272.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2413426	     29880 ns/op	 941.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2424600	     29694 ns/op	 946.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2404162	     29766 ns/op	 944.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2411544	     30006 ns/op	 937.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2420192	     29967 ns/op	 938.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2414156	     30034 ns/op	 936.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2336008	     29736 ns/op	 945.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2420900	     29710 ns/op	 946.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2435682	     29559 ns/op	 951.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2427679	     29552 ns/op	 951.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8640	   8328444 ns/op	 270.28 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8652	   8355904 ns/op	 269.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8737	   8265628 ns/op	 272.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8678	   8293639 ns/op	 271.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8698	   8279485 ns/op	 271.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8667	   8283533 ns/op	 271.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8720	   8211674 ns/op	 274.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8653	   8339163 ns/op	 269.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8679	   8314210 ns/op	 270.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    8590	   8299462 ns/op	 271.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40455	   1780226 ns/op	 970.22 MB/s	    1142 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   39822	   1787416 ns/op	 966.31 MB/s	    1158 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40407	   1780689 ns/op	 969.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40233	   1779180 ns/op	 970.79 MB/s	    1145 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40413	   1786298 ns/op	 966.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40080	   1791214 ns/op	 964.26 MB/s	    1150 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40388	   1777916 ns/op	 971.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40010	   1785291 ns/op	 967.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   39843	   1788299 ns/op	 965.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   40207	   1779036 ns/op	 970.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  136054	    527560 ns/op	1197.05 MB/s	     137 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  137690	    528793 ns/op	1194.25 MB/s	     124 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  138517	    526021 ns/op	1200.55 MB/s	     123 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  136258	    523234 ns/op	1206.94 MB/s	     124 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  137814	    523944 ns/op	1205.31 MB/s	     123 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  135694	    528161 ns/op	1195.68 MB/s	     125 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  138118	    525518 ns/op	1201.70 MB/s	     122 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  135778	    524212 ns/op	1204.69 MB/s	     124 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  137785	    527163 ns/op	1197.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  138096	    529480 ns/op	1192.71 MB/s	     122 B/op	       0 allocs/op
BenchmarkParseSimdjson/small-8         	134482488	       498.8 ns/op	 380.89 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	156524589	       521.2 ns/op	 364.57 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	149446279	       514.0 ns/op	 369.67 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	156465315	       523.6 ns/op	 362.91 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	153691054	       555.4 ns/op	 342.10 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	151258920	       499.8 ns/op	 380.18 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	148124791	       537.8 ns/op	 353.27 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	143972374	       484.6 ns/op	 392.08 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	150604197	       526.7 ns/op	 360.71 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	145559176	       536.2 ns/op	 354.37 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	38697196	      2132 ns/op	1092.28 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	38574106	      2283 ns/op	1019.97 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	29429930	      2275 ns/op	1023.89 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	38771192	      2129 ns/op	1094.15 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	38163345	      2094 ns/op	1111.99 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	33703870	      2295 ns/op	1014.76 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	34773920	      2274 ns/op	1024.02 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	38957692	      2008 ns/op	1159.91 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	37340562	      2133 ns/op	1092.09 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	37083493	      2415 ns/op	 964.19 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/large-8         	 2728734	     28884 ns/op	 973.47 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2710816	     28797 ns/op	 976.43 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2712661	     28690 ns/op	 980.05 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2239770	     32289 ns/op	 870.83 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2242350	     31272 ns/op	 899.15 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2654728	     28716 ns/op	 979.17 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2669913	     28338 ns/op	 992.23 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2755575	     27448 ns/op	1024.43 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 2644378	     26607 ns/op	1056.81 MB/s	      64 B/op	       3 allocs/op
