goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseJsonvector/large-12       	15935672	      4524 ns/op	6215.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16106902	      4472 ns/op	6286.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16088779	      4478 ns/op	6279.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16050057	      4518 ns/op	6223.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16032723	      4501 ns/op	6246.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16044663	      4495 ns/op	6256.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16022487	      4498 ns/op	6250.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   93602	    761248 ns/op	2957.05 MB/s	    2474 B/op	       1 allocs/op
BenchmarkParseJsonvector/canada-12      	   94708	    761274 ns/op	2956.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   94513	    761111 ns/op	2957.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   93634	    761217 ns/op	2957.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   94502	    761286 ns/op	2956.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   94714	    761215 ns/op	2957.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   93424	    761573 ns/op	2955.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   94724	    761245 ns/op	2957.06 MB/s	    2444 B/op	       1 allocs/op
BenchmarkParseJsonvector/canada-12      	   94681	    761485 ns/op	2956.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	   93962	    761875 ns/op	2954.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  349413	    211769 ns/op	8156.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  342438	    211460 ns/op	8167.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  342669	    211486 ns/op	8167.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  340532	    211873 ns/op	8152.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  342750	    211543 ns/op	8164.78 MB/s	     134 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  341967	    211709 ns/op	8158.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  341178	    211692 ns/op	8159.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  340800	    211969 ns/op	8148.40 MB/s	       0 B/op	       0 allocs/op
