goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseJsonvector/medium-48      	196978040	       358.7 ns/op	6493.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	217660052	       337.7 ns/op	6897.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	217574073	       334.8 ns/op	6956.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	213572728	       346.0 ns/op	6730.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	218406157	       337.0 ns/op	6910.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	209863480	       330.9 ns/op	7039.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	222237957	       327.8 ns/op	7104.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	216872396	       330.3 ns/op	7050.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	208717778	       347.2 ns/op	6707.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	218427444	       334.3 ns/op	6966.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14033634	      5151 ns/op	5458.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14121589	      5144 ns/op	5466.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14012347	      5271 ns/op	5334.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14063666	      5212 ns/op	5395.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	13937836	      5147 ns/op	5463.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	13679042	      5114 ns/op	5498.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14067078	      5139 ns/op	5471.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	13767931	      5188 ns/op	5420.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14051654	      5091 ns/op	5523.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	14199987	      5188 ns/op	5419.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-48      	   18447	   3822622 ns/op	 588.88 MB/s	   25115 B/op	      18 allocs/op
BenchmarkParseJsonvector/canada-48      	   18436	   3880925 ns/op	 580.03 MB/s	   50247 B/op	      36 allocs/op
BenchmarkParseJsonvector/canada-48      	   18031	   3827045 ns/op	 588.20 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-48      	   18495	   3862605 ns/op	 582.78 MB/s	   25043 B/op	      18 allocs/op
BenchmarkParseJsonvector/canada-48      	   18007	   3872083 ns/op	 581.35 MB/s	   12862 B/op	       9 allocs/op
BenchmarkParseJsonvector/canada-48      	   17988	   3881490 ns/op	 579.95 MB/s	   12875 B/op	       9 allocs/op
BenchmarkParseJsonvector/canada-48      	   18326	   3863584 ns/op	 582.63 MB/s	   25273 B/op	      18 allocs/op
BenchmarkParseJsonvector/canada-48      	   18499	   3875856 ns/op	 580.79 MB/s	   50075 B/op	      36 allocs/op
BenchmarkParseJsonvector/canada-48      	   17134	   3908834 ns/op	 575.89 MB/s	   13517 B/op	       9 allocs/op
BenchmarkParseJsonvector/canada-48      	   18354	   3861314 ns/op	 582.98 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   82807	    876373 ns/op	1970.85 MB/s	    3900 B/op	       3 allocs/op
BenchmarkParseJsonvector/citm-48        	   81576	    859223 ns/op	2010.19 MB/s	     566 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   82988	    870789 ns/op	1983.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   78273	    870053 ns/op	1985.17 MB/s	    1178 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   81720	    867497 ns/op	1991.02 MB/s	    5077 B/op	       4 allocs/op
BenchmarkParseJsonvector/citm-48        	   82006	    866563 ns/op	1993.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   82830	    863899 ns/op	1999.31 MB/s	     556 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   84048	    870531 ns/op	1984.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   82882	    861409 ns/op	2005.09 MB/s	     556 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-48        	   80907	    873596 ns/op	1977.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  247220	    280316 ns/op	2252.86 MB/s	     424 B/op	       0 allocs/op
