goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseJsonvector/medium-8      	37406004	      1103 ns/op	2112.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	32623244	      1094 ns/op	2128.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	36732114	      1097 ns/op	2123.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	33603025	      1092 ns/op	2132.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2207479	     16307 ns/op	1724.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2174017	     16359 ns/op	1718.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2207995	     16294 ns/op	1725.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2204020	     16481 ns/op	1706.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2200395	     16486 ns/op	1705.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2222445	     16331 ns/op	1721.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2188591	     16393 ns/op	1715.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2157064	     16161 ns/op	1739.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2175920	     16385 ns/op	1716.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 2162631	     16545 ns/op	1699.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18614	   1927109 ns/op	1168.10 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18699	   1922402 ns/op	1170.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18513	   1941996 ns/op	1159.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18405	   1930214 ns/op	1166.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18567	   1929514 ns/op	1166.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18774	   1929487 ns/op	1166.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18822	   1940672 ns/op	1159.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18534	   1938553 ns/op	1161.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18504	   1935269 ns/op	1163.17 MB/s	    6538 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   18670	   1932089 ns/op	1165.09 MB/s	       0 B/op	       0 allocs/op
