goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseJsonvector/medium-12      	279842637	       254.2 ns/op	9161.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	284573644	       254.4 ns/op	9154.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	287783127	       255.0 ns/op	9134.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	284906973	       254.7 ns/op	9145.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	283225418	       254.8 ns/op	9140.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	281554524	       257.3 ns/op	9053.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	285059581	       255.6 ns/op	9111.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	285303660	       252.9 ns/op	9207.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	288049629	       252.8 ns/op	9214.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	286541504	       257.5 ns/op	9044.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19983386	      3632 ns/op	7741.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	18582964	      3673 ns/op	7655.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19643335	      3687 ns/op	7626.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19572807	      3682 ns/op	7635.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19592199	      3674 ns/op	7653.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19513416	      3694 ns/op	7611.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19632008	      3673 ns/op	7655.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19533708	      3690 ns/op	7619.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19552669	      3685 ns/op	7630.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	19609002	      3694 ns/op	7612.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  207463	    349550 ns/op	6439.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  205359	    349925 ns/op	6432.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  206017	    351271 ns/op	6408.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  206353	    350373 ns/op	6424.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  206776	    350732 ns/op	6418.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  206029	    350258 ns/op	6426.83 MB/s	     587 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  205596	    351336 ns/op	6407.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  205520	    350304 ns/op	6425.99 MB/s	     588 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  205118	    350072 ns/op	6430.25 MB/s	     589 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-12      	  206485	    350109 ns/op	6429.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  696079	    104032 ns/op	16602.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  692299	    104269 ns/op	16564.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  688897	    104294 ns/op	16560.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  686713	    104809 ns/op	16479.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  686348	    104826 ns/op	16476.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  655254	    105015 ns/op	16447.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  688609	    104493 ns/op	16529.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  689233	    104725 ns/op	16492.71 MB/s	      33 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  689311	    104427 ns/op	16539.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-12        	  693046	    104507 ns/op	16527.18 MB/s	      33 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1492726	     48483 ns/op	13025.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1494304	     48198 ns/op	13102.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1494213	     48569 ns/op	13002.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1494576	     48368 ns/op	13056.35 MB/s	       5 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1495935	     48507 ns/op	13018.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1495732	     48498 ns/op	13021.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1497555	     48299 ns/op	13075.08 MB/s	       5 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1495816	     48502 ns/op	13020.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1496450	     48445 ns/op	13035.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-12     	 1497420	     48434 ns/op	13038.55 MB/s	       5 B/op	       0 allocs/op
PASS
ok github.com/koykov/versus/jsonvector	9439.164s
