goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseJsonvector/large-8       	 7240834	      9943 ns/op	2827.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29923	   2404797 ns/op	 936.07 MB/s	    4044 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29924	   2401044 ns/op	 937.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29907	   2404454 ns/op	 936.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29874	   2411993 ns/op	 933.27 MB/s	    4050 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29816	   2411848 ns/op	 933.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29868	   2408278 ns/op	 934.71 MB/s	    4050 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29913	   2406958 ns/op	 935.23 MB/s	    4044 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29918	   2406853 ns/op	 935.27 MB/s	    4044 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29836	   2411595 ns/op	 933.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	   29793	   2412361 ns/op	 933.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154279	    464345 ns/op	3719.66 MB/s	     152 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154064	    464382 ns/op	3719.36 MB/s	     151 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154574	    463495 ns/op	3726.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154407	    463326 ns/op	3727.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  153265	    464762 ns/op	3716.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154392	    463868 ns/op	3723.49 MB/s	     151 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  153690	    464913 ns/op	3715.11 MB/s	     151 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  154468	    482027 ns/op	3583.21 MB/s	     151 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  144189	    475425 ns/op	3632.97 MB/s	     161 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	  143904	    489847 ns/op	3526.01 MB/s	     162 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  514947	    137462 ns/op	4594.11 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  519118	    137032 ns/op	4608.52 MB/s	      16 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  517748	    136445 ns/op	4628.36 MB/s	      16 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  519640	    136038 ns/op	4642.18 MB/s	      18 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  518343	    136103 ns/op	4639.98 MB/s	      16 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  518992	    136513 ns/op	4626.04 MB/s	      16 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  509655	    137665 ns/op	4587.32 MB/s	      16 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  515242	    136993 ns/op	4609.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  518128	    136822 ns/op	4615.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  519362	    136535 ns/op	4625.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseSimdjson/small-8         	227508469	       335.3 ns/op	 566.69 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	256163409	       312.1 ns/op	 608.76 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	241485993	       301.6 ns/op	 629.88 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	243045066	       305.9 ns/op	 621.16 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	220206463	       318.3 ns/op	 596.90 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	226280740	       308.9 ns/op	 615.02 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	242177133	       307.6 ns/op	 617.61 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	240452854	       320.4 ns/op	 592.94 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	239203269	       309.9 ns/op	 613.03 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	227210763	       299.6 ns/op	 634.13 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	63492747	      1551 ns/op	1501.47 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	43537462	      1395 ns/op	1670.11 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	64296591	      1577 ns/op	1476.46 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	67839020	      1412 ns/op	1649.75 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	67794400	      1788 ns/op	1302.36 MB/s	      16 B/op	       1 allocs/op
