goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseJsonvector/medium-8      	20026443	      1784 ns/op	1305.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	20556807	      1775 ns/op	1312.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	18458200	      1786 ns/op	1304.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	18990954	      1777 ns/op	1310.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1348623	     26796 ns/op	1049.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1347141	     26965 ns/op	1042.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1337362	     27068 ns/op	1038.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1340440	     27010 ns/op	1041.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1355672	     26918 ns/op	1044.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1332816	     26870 ns/op	1046.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1331673	     27017 ns/op	1040.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1342106	     26888 ns/op	1045.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1329638	     26866 ns/op	1046.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 1349486	     26974 ns/op	1042.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5888	   5997771 ns/op	 375.31 MB/s	       4 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5971	   6016738 ns/op	 374.13 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    6057	   6041807 ns/op	 372.58 MB/s	   38233 B/op	      27 allocs/op
BenchmarkParseJsonvector/canada-8      	    6027	   6111250 ns/op	 368.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5976	   6052212 ns/op	 371.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    6021	   6183312 ns/op	 364.05 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5978	   5958971 ns/op	 377.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5940	   6006479 ns/op	 374.77 MB/s	   38986 B/op	      28 allocs/op
BenchmarkParseJsonvector/canada-8      	    5948	   5996380 ns/op	 375.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/canada-8      	    5941	   5998484 ns/op	 375.27 MB/s	   38979 B/op	      28 allocs/op
BenchmarkParseJsonvector/citm-8        	   25044	   1439728 ns/op	1199.67 MB/s	       3 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   25002	   1464798 ns/op	1179.14 MB/s	    1844 B/op	       1 allocs/op
BenchmarkParseJsonvector/citm-8        	   25345	   1462743 ns/op	1180.80 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   24960	   1446631 ns/op	1193.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   25005	   1505232 ns/op	1147.47 MB/s	    1843 B/op	       1 allocs/op
BenchmarkParseJsonvector/citm-8        	   24825	   1436076 ns/op	1202.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   24762	   1436279 ns/op	1202.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   25526	   1419351 ns/op	1216.90 MB/s	    1806 B/op	       1 allocs/op
BenchmarkParseJsonvector/citm-8        	   25455	   1425254 ns/op	1211.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   24807	   1435446 ns/op	1203.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	   76083	    494704 ns/op	1276.55 MB/s	     244 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	   73280	    492515 ns/op	1282.22 MB/s	       2 B/op	       0 allocs/op
