goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseNetUrl/large-8           	51990780	       692.8 ns/op	 321.90 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	51463345	       701.0 ns/op	 318.10 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	51432330	       694.2 ns/op	 321.25 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	52192426	       689.8 ns/op	 323.26 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	51421876	       688.8 ns/op	 323.76 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	52306318	       688.7 ns/op	 323.80 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	52109718	       688.1 ns/op	 324.09 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/big-8             	19472692	      1851 ns/op	 609.00 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19423898	      1852 ns/op	 608.56 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19429873	      1852 ns/op	 608.52 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19401493	      1851 ns/op	 608.74 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19438778	      1872 ns/op	 602.13 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19147512	      1852 ns/op	 608.61 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19370462	      1850 ns/op	 609.22 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19448119	      1851 ns/op	 608.99 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19469023	      1851 ns/op	 608.94 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	19478128	      1845 ns/op	 610.75 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/giant-8           	14809952	      2416 ns/op	 865.65 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14844374	      2421 ns/op	 863.74 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14864726	      2416 ns/op	 865.52 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14863695	      2415 ns/op	 865.99 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14877109	      2415 ns/op	 865.89 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14885714	      2414 ns/op	 866.29 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14871576	      2416 ns/op	 865.41 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14885257	      2417 ns/op	 865.15 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14870031	      2416 ns/op	 865.40 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	14904206	      2417 ns/op	 865.28 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseUrlvector/small-8        	363628593	        98.95 ns/op	 272.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	358558341	       100.2 ns/op	 269.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	363048750	        99.01 ns/op	 272.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	359369758	       100.2 ns/op	 269.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	362784682	        99.27 ns/op	 271.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	358535602	       100.3 ns/op	 269.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	361683848	       101.6 ns/op	 265.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	361080714	        99.76 ns/op	 270.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	363412974	        99.28 ns/op	 271.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	359928674	       100.1 ns/op	 269.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	343601354	       104.2 ns/op	 652.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	345278150	       105.8 ns/op	 642.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	341425034	       106.1 ns/op	 640.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	346116774	       104.2 ns/op	 652.59 MB/s	       0 B/op	       0 allocs/op
