goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseNetUrl/big-8             	15725715	      2329 ns/op	 483.98 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	15979454	      2323 ns/op	 485.14 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	15525698	      2312 ns/op	 487.41 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	16416999	      2348 ns/op	 479.90 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/giant-8           	11122724	      3174 ns/op	 658.73 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11532399	      3171 ns/op	 659.41 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11114204	      3179 ns/op	 657.82 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11686071	      3169 ns/op	 659.76 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11140768	      3179 ns/op	 657.77 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11388056	      3153 ns/op	 663.13 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11019735	      3172 ns/op	 659.12 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11591367	      3162 ns/op	 661.20 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	10864149	      3178 ns/op	 657.99 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-8           	11493636	      3170 ns/op	 659.60 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseUrlvector/small-8        	192828087	       189.7 ns/op	 142.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	186584882	       192.5 ns/op	 140.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	191415102	       189.0 ns/op	 142.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	186220285	       193.6 ns/op	 139.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	189194756	       192.1 ns/op	 140.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	189920932	       190.8 ns/op	 141.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	187747330	       188.8 ns/op	 143.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	188884964	       192.6 ns/op	 140.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	184257200	       194.8 ns/op	 138.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-8        	190025695	       190.6 ns/op	 141.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	169916293	       211.8 ns/op	 321.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	170318320	       209.8 ns/op	 324.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	159487713	       212.4 ns/op	 320.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	173630223	       210.5 ns/op	 323.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	174230912	       210.0 ns/op	 323.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	168217399	       208.9 ns/op	 325.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	173897305	       210.1 ns/op	 323.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	171590379	       208.5 ns/op	 326.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	172572696	       207.1 ns/op	 328.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	173860731	       207.7 ns/op	 327.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	176907296	       210.6 ns/op	1058.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	178070642	       199.2 ns/op	1119.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	179106934	       200.4 ns/op	1112.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	174410941	       203.5 ns/op	1096.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	177216330	       204.7 ns/op	1089.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	180811749	       199.7 ns/op	1116.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	175400154	       204.5 ns/op	1090.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	165631372	       212.9 ns/op	1047.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	177668202	       202.8 ns/op	1099.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	177350366	       204.1 ns/op	1092.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48770853	       705.9 ns/op	1596.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48444081	       705.3 ns/op	1597.83 MB/s	       0 B/op	       0 allocs/op
