goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseUrlvector/small-48        	772491355	        46.45 ns/op	 581.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	789503623	        44.62 ns/op	1523.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	758730612	        47.06 ns/op	1444.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	653846102	        53.41 ns/op	1273.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	837661185	        42.67 ns/op	1593.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	752303109	        48.27 ns/op	1408.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	742259570	        47.39 ns/op	1435.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	736419644	        49.68 ns/op	1368.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	757411737	        47.96 ns/op	1417.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	776621372	        47.15 ns/op	1442.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-48       	797612236	        44.47 ns/op	1528.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	808696196	        44.85 ns/op	4971.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	573000117	        61.09 ns/op	3650.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	634972510	        56.41 ns/op	3953.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	853171384	        42.06 ns/op	5301.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	742499248	        48.32 ns/op	4615.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	712948820	        51.76 ns/op	4308.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	862078760	        42.12 ns/op	5294.11 MB/s	       0 B/op	       0 allocs/op
